fecha,n_votacion,"ACUÑA PERALTA, MARÍA GRIMANEZA","ACUÑA PERALTA, SEGUNDO HÉCTOR","AGUINAGA RECUENCO, ALEJANDRO","AGÜERO GUTIÉRREZ, MARÍA ANTONIETA","ALCARRAZ AGÜERO, YOREL KIRA","ALEGRÍA GARCÍA, ARTURO","ALVA PRIETO, MARÍA DEL CARMEN","ALVA ROJAS, CARLOS ENRIQUE","AMURUZ DULANTO, YESSICA ROSSELLI","ANDERSON RAMÍREZ, CARLOS ANTONIO","ARAGÓN CARREÑO, LUIS ÁNGEL","ARRIOLA TUEROS, JOSÉ ALBERTO","AZURÍN LOAYZA, ALFREDO","BALCÁZAR ZELADA, JOSÉ MARÍA","BARBARÁN REYES, ROSANGELLA ANDREA","BAZÁN CALDERÓN, DIEGO ALONSO","BAZÁN NARRO, SIGRID TESORO","BELLIDO UGARTE, GUIDO","BERMEJO ROJAS, GUILLERMO","BURGOS OLIVEROS, JUAN BARTOLOMÉ","BUSTAMANTE DONAYRE, CARLOS ERNESTO","CALLE LOBATÓN, DIGNA","CAMONES SORIANO, LADY MERCEDES","CASTILLO RIVAS, EDUARDO ENRIQUE","CAVERO ALVA, ALEJANDRO ENRIQUE","CERRÓN ROJAS, WALDEMAR JOSÉ","CHACÓN TRUJILLO, NILZA MERLY","CHIABRA LEÓN, ROBERTO ENRIQUE","CHIRINOS VENEGAS, PATRICIA ROSA","CHÁVEZ CHINO, BETSSY BETZABET","CICCIA VÁSQUEZ, MIGUEL ANGEL","COAYLA JUÁREZ, JORGE SAMUEL","CORDERO JON TAY, LUIS GUSTAVO","CORDERO JON TAY, MARIA DEL PILAR","CORTEZ AGUIRRE, ISABEL","CRUZ MAMANI, FLAVIO","CUETO ASERVI, JOSÉ ERNESTO","CUTIPA CCAMA, VÍCTOR RAÚL","CÓRDOVA LOBATÓN, MARÍA JESSICA","DOROTEO CARBAJO, RAÚL FELIPE","DÁVILA ATANACIO, PASIÓN NEOMIAS","DÍAZ MONAGO, FREDDY RONALD","ECHAÍZ DE NÚÑEZ IZAGA, GLADYS M.","ECHEVERRÍA RODRÍGUEZ, HAMLET","ELERA GARCÍA, WILMAR ALBERTO","ELÍAS ÁVALOS, JOSÉ LUIS","ESPINOZA VARGAS, JHAEC DARWIN","FLORES ANCACHI, JORGE LUIS","FLORES RAMÍREZ, ALEX RANDU","FLORES RUÍZ, VÍCTOR SEFERINO","GARCÍA CORREA, IDELSO MANUEL","GONZA CASTILLO, AMÉRICO","GONZÁLES DELGADO, DIANA CAROLINA","GUERRA GARCÍA CAMPOS, HERNANDO","GUTIÉRREZ TICONA, PAUL SILVIO","HERRERA MAMANI, FERNANDO MARIO","HERRERA MEDINA, NOELIA ROSSVITH","HUAMÁN CORONADO, RAÚL","INFANTES CASTAÑEDA, MERY ELIANA","JERI ORÉ, JOSÉ ENRIQUE","JIMÉNEZ HEREDIA, DAVID JULIO","JULON IRIGOIN, ELVA EDHIT","JUÁREZ CALLE, HEIDY LISBETH","JUÁREZ GALLEGOS, CARMEN PATRICIA","JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA","KAMICHE MORANTE, LUIS ROBERTO","LIMACHI QUISPE, NIEVES ESMERALDA","LIZARZABURU LIZARZABURU, JUAN C.","LUNA GÁLVEZ, JOSÉ LEÓN","LUQUE IBARRA, RUTH","LÓPEZ MORALES, JENY LUZ","LÓPEZ UREÑA, ILICH FREDY","MARTICORENA MENDOZA, JORGE","MARTÍNEZ TALAVERA, PEDRO EDWIN","MEDINA HERMOSILLA, ELIZABETH SARA","MEDINA MINAYA, ESDRAS RICARDO","MONTALVO CUBAS, SEGUNDO TORIBIO","MONTEZA FACHO, SILVIA MARÍA","MONTOYA MANRIQUE, JORGE","MORANTE FIGARI, JORGE ALBERTO","MORI CELIS, JUAN CARLOS","MOYANO DELGADO, MARTHA LUPE","MUÑANTE BARRIOS, ALEJANDRO","MÁLAGA TRILLO, GEORGE EDWARD","OBANDO MORGAN, AURISTELA ANA","OLIVOS MARTÍNEZ, VIVIAN","PABLO MEDINA, FLOR AIDEE","PADILLA ROMERO, JAVIER ROMMEL","PALACIOS HUAMÁN, MARGOT","PAREDES CASTRO, FRANCIS JHASMINA","PAREDES FONSECA, KAROL IVETT","PAREDES GONZALES, ALEX ANTONIO","PAREDES PIQUÉ, SUSEL ANA MARÍA","PARIONA SINCHE, ALFREDO","PICÓN QUEDO, LUIS RAÚL","PORTALATINO ÁVALOS, KELLY ROXANA","PORTERO LÓPEZ, HILDA MARLENY","QUIROZ BARBOZA, SEGUNDO TEODOMIRO","QUISPE MAMANI, WILSON RUSBEL","QUITO SARMIENTO, BERNARDO JAIME","RAMÍREZ GARCÍA, TANIA ESTEFANY","REVILLA VILLANUEVA, CÉSAR MANUEL","REYES CAM, ABEL AUGUSTO","REYMUNDO MERCADO, EDGARD CORNELIO","RIVAS CHACARA, JANET MILAGROS","ROBLES ARAUJO, SILVANA EMPERATRIZ","RUÍZ RODRÍGUEZ, MAGALY ROSMERY","SAAVEDRA CASTERNOQUE, HITLER","SALHUANA CAVIDES, EDUARDO","SOTO PALACIOS, WILSON","SOTO REYES, ALEJANDRO","SÁNCHEZ PALOMINO, ROBERTO HELBERT","TACURI VALDIVIA, GERMÁN ADOLFO","TAIPE CORONADO, MARÍA ELIZABETH","TELLO MONTES, NIVARDO EDGAR","TORRES SALINAS, ROSIO","TRIGOZO REÁTEGUI, CHERYL","TUDELA GUTIÉRREZ, ADRIANA JOSEFINA","UGARTE MAMANI, JHAKELINE KATY","VALER PINTO, HÉCTOR","VARAS MELÉNDEZ, ELÍAS MARCIAL",VENTURA ANGEL HÉCTOR JOSÉ,"VERGARA MENDOZA, ELVIS HERNÁN","VÁSQUEZ VELA, LUCINDA","WILLIAMS ZAPATA, JOSÉ DANIEL","WONG PUJADA, ENRIQUE","YARROW LUMBRERAS, NORMA MARTINA","ZEA CHOQUECHAMBI, OSCAR","ZEBALLOS APONTE, JORGE","ZEBALLOS MADARIAGA, CARLOS","ZETA CHUNGA, CRUZ MARÍA"
2021-08-05,1.0,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,***,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,LO,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++
2021-08-12,1.0,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,***,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,LO,SI +++,SI +++,SI +++,AUS,NO ---,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,NO ---,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,ABST.,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,ABST.,SI +++,SI +++,SI +++,,SI +++,SI +++,SI +++,SI +++,SI +++,LO,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,LP,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++
2021-08-12,2.0,NO ---,NO ---,NO ---,SI +++,SI +++,NO ---,***,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,SI +++,NO ---,NO ---,SI +++,LO,SI +++,NO ---,NO ---,AUS,NO ---,NO ---,NO ---,SI +++,NO ---,NO ---,NO ---,SI +++,NO ---,SI +++,NO ---,NO ---,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,NO ---,SI +++,AUS,NO ---,NO ---,NO ---,NO ---,SI +++,,NO ---,SI +++,SI +++,NO ---,SI +++,LO,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,NO ---,SI +++,NO ---,NO ---,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,LP,SI +++,SI +++,AUS,NO ---,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,NO ---,NO ---,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,ABST.,NO ---,SI +++,NO ---,AUS,NO ---
2021-08-12,3.0,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,***,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,LO,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,,SI +++,SI +++,SI +++,SI +++,SI +++,LO,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,LP,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++
2021-08-12,4.0,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,***,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,LO,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,,SI +++,AUS,SI +++,SI +++,SI +++,LO,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,LP,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++
2021-08-12,5.0,SI +++,SI +++,SI +++,NO ---,ABST.,SI +++,***,AUS,SI +++,SI +++,SI +++,SI +++,ABST.,NO ---,SI +++,SI +++,NO ---,LO,NO ---,AUS,SI +++,AUS,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,AUS,LO,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,AUS,AUS,SI +++,SI +++,SI +++,ABST.,AUS,ABST.,SI +++,SI +++,SI +++,NO ---,,SI +++,AUS,NO ---,SI +++,SI +++,LO,SI +++,LO,SI +++,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,AUS,AUS,SI +++,AUS,NO ---,NO ---,SI +++,NO ---,SI +++,LP,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,NO ---,NO ---,SI +++,ABST.,AUS,SI +++,SI +++,NO ---,AUS,NO ---,NO ---,SI +++,SI +++,SI +++,AUS,SI +++,NO ---,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,AUS,SI +++,AUS,SI +++
2021-08-12,6.0,SI +++,SI +++,SI +++,NO ---,ABST.,SI +++,***,SI +++,SI +++,SI +++,SI +++,SI +++,ABST.,NO ---,SI +++,SI +++,NO ---,LO,AUS,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,ABST.,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,LO,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,ABST.,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,,SI +++,ABST.,NO ---,SI +++,SI +++,LO,SI +++,LO,ABST.,NO ---,SI +++,ABST.,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,AUS,NO ---,ABST.,AUS,NO ---,SI +++,AUS,NO ---,NO ---,SI +++,NO ---,SI +++,LP,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,NO ---,NO ---,SI +++,ABST.,AUS,SI +++,SI +++,AUS,NO ---,NO ---,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,AUS,SI +++
2021-08-12,7.0,SI +++,SI +++,SI +++,NO ---,ABST.,SI +++,AUS,ABST.,SI +++,SI +++,ABST.,ABST.,ABST.,NO ---,SI +++,SI +++,NO ---,LO,AUS,SI +++,SI +++,AUS,***,SI +++,AUS,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,SI +++,ABST.,NO ---,SI +++,SI +++,NO ---,LO,SI +++,ABST.,ABST.,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,ABST.,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,,SI +++,ABST.,NO ---,SI +++,ABST.,LO,ABST.,LO,SI +++,NO ---,ABST.,SI +++,SI +++,ABST.,SI +++,SI +++,NO ---,SI +++,AUS,NO ---,SI +++,AUS,NO ---,ABST.,AUS,NO ---,NO ---,SI +++,NO ---,ABST.,NO ---,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,NO ---,NO ---,SI +++,ABST.,AUS,ABST.,SI +++,AUS,NO ---,NO ---,NO ---,SI +++,SI +++,SI +++,NO ---,NO ---,NO ---,SI +++,ABST.,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,AUS,SI +++
2021-08-12,8.0,NO ---,NO ---,SI +++,NO ---,ABST.,SI +++,***,ABST.,SI +++,ABST.,ABST.,ABST.,ABST.,NO ---,SI +++,SI +++,NO ---,LO,AUS,SI +++,SI +++,AUS,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,NO ---,SI +++,ABST.,NO ---,NO ---,SI +++,NO ---,LO,AUS,ABST.,ABST.,NO ---,SI +++,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,ABST.,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,,SI +++,ABST.,NO ---,SI +++,ABST.,LO,ABST.,LO,SI +++,NO ---,ABST.,SI +++,SI +++,ABST.,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,NO ---,NO ---,ABST.,LO,NO ---,NO ---,NO ---,NO ---,ABST.,NO ---,NO ---,NO ---,SI +++,SI +++,NO ---,NO ---,NO ---,NO ---,NO ---,ABST.,NO ---,ABST.,NO ---,AUS,NO ---,NO ---,NO ---,ABST.,SI +++,SI +++,NO ---,NO ---,NO ---,SI +++,ABST.,NO ---,SI +++,ABST.,SI +++,NO ---,SI +++,AUS,SI +++
2021-08-12,9.0,SI +++,SI +++,SI +++,NO ---,SI +++,SI +++,***,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,SI +++,LO,AUS,SI +++,SI +++,AUS,AUS,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,LO,AUS,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,SI +++,NO ---,,SI +++,SI +++,SI +++,SI +++,SI +++,LO,SI +++,LO,SI +++,NO ---,SI +++,SI +++,SI +++,AUS,SI +++,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,NO ---,NO ---,SI +++,LO,NO ---,NO ---,SI +++,NO ---,SI +++,NO ---,NO ---,NO ---,SI +++,SI +++,NO ---,SI +++,NO ---,NO ---,SI +++,SI +++,SI +++,SI +++,SI +++,AUS,NO ---,NO ---,NO ---,SI +++,SI +++,SI +++,NO ---,SI +++,NO ---,SI +++,SI +++,NO ---,SI +++,SI +++,SI +++,NO ---,AUS,AUS,SI +++
